k,l,akl,alk
methane,ethane,1.020806,0.9994621
methane,propane,1.076958,0.9753664
methane,iButane,1.296998,0.9114115
methane,nButane,1.103734,0.9491476
methane,nPenthane,1,0.9358438
methane,nitrogen,1.0158,0.9756714
methane,carbonDioxide,1.017094,0.9690212
methane,waterVapor,0.1739601,2.2325
ethane,nitrogen,1.051319,0.9899678
ethane,carbonDioxide,0.8174294,0.9685934
ethane,waterVapor,0.8849272,0.6847481
propane,nitrogen,1.09676,0.9527788
propane,waterVapor,0.715441,0.6199581
nButane,nitrogen,1.13723,0.9325496
nButane,waterVapor,1,0.5961099
nitrogen,carbonDioxide,0.9966382,1.087326
nitrogen,waterVapor,1.641668,0.6112308
carbonDioxide,waterVapor,1.027601,0.8875383
waterVapor,hydrogenSulfide,1.465175,0.8098737
